#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
535000,1069.9999999885217,-205659.5095042875,303.74518167348657,651
540000,1079.9999999882853,-206334.39994413976,300.5898495929691,651
545000,1089.9999999880488,-206173.41280999559,298.1508930695774,651
550000,1099.9999999878123,-205867.51467806485,302.812689362354,651
555000,1109.9999999875758,-206450.49753696076,295.7267884476005,651
560000,1119.9999999873394,-205566.62319676916,303.9779468013341,651
565000,1129.999999987103,-206284.02884899662,299.51844943764587,651
570000,1139.9999999868664,-205703.2384115865,302.29903456021754,651
575000,1149.99999998663,-205333.10964008968,303.90653388343515,651
580000,1159.9999999863935,-205762.17998842732,302.4592995339358,651
585000,1169.999999986157,-206621.79555739358,300.93203306998646,651
590000,1179.9999999859206,-205599.87152243697,299.6968566891406,651
595000,1189.999999985684,-205893.1010729511,300.3898143246033,651
600000,1199.9999999854476,-205792.04219426448,296.51695107943516,651
605000,1209.9999999852112,-206077.69462023315,296.9805456305762,651
610000,1219.9999999849747,-206003.189094992,304.48567260442485,651
615000,1229.9999999847382,-206041.2122915854,298.6968798326982,651
620000,1239.9999999845018,-205492.70160934876,300.64778005899575,651
625000,1249.9999999842653,-206386.27878843306,300.39849599092696,651
630000,1259.9999999840288,-206092.03931087023,301.0439732873181,651
635000,1269.9999999837923,-205466.08926580194,301.8510969930931,651
640000,1279.9999999835559,-205842.2429345952,296.1166545597649,651
645000,1289.9999999833194,-205609.36819869978,297.76395948202827,651
650000,1299.999999983083,-205246.28903357673,303.7084604931289,651
655000,1309.9999999828465,-206133.32536541834,294.0474477331316,651
660000,1319.99999998261,-206042.55988161743,297.4849620786628,651
665000,1329.9999999823735,-205975.40031428158,303.06617630620934,651
670000,1339.999999982137,-206213.05838825542,301.72894393712846,651
675000,1349.9999999819006,-205400.6930896577,297.51003411714004,651
680000,1359.9999999816641,-206021.8017021604,291.88260081922004,651
685000,1369.9999999814277,-205442.60479392146,300.0388860914867,651
690000,1379.9999999811912,-205697.44300210115,299.41897974449904,651
695000,1389.9999999809547,-205855.70304298867,303.343131432682,651
700000,1399.9999999807183,-205739.5247671915,300.9148268895621,651
705000,1409.9999999804818,-205141.68764622917,298.24353547478194,651
710000,1419.9999999802453,-207231.22800641973,299.92838413901467,651
715000,1429.9999999800089,-206270.53331140825,299.3819593981805,651
720000,1439.9999999797724,-206002.6075109184,294.16728636605916,651
725000,1449.999999979536,-205729.18332072184,298.3524588610201,651
730000,1459.9999999792994,-205922.91423804313,304.1434435200563,651
735000,1469.999999979063,-205192.8119661467,296.7312433888829,651
740000,1479.9999999788265,-206018.3332892951,294.5992607917376,651
745000,1489.99999997859,-204662.09857766156,298.26923911585516,651
750000,1499.9999999783536,-205790.23175104207,296.7294499394751,651
755000,1509.999999978117,-205645.63745730917,300.65625768174493,651
760000,1519.9999999778806,-205650.11545367853,302.38677015377135,651
765000,1529.9999999776442,-205913.68738552695,300.6843898223643,651
770000,1539.9999999774077,-206340.41476047668,302.1086960092536,651
775000,1549.9999999771712,-205726.09787810955,302.7719529184189,651
780000,1559.9999999769348,-205637.74593599362,296.26034595669677,651
785000,1569.9999999766983,-205704.16609858233,294.31097065029985,651
790000,1579.9999999764618,-206077.90238412237,303.6909721870097,651
795000,1589.9999999762254,-205611.41968584014,296.75455941577076,651
800000,1599.9999999759889,-206112.53595186095,301.6100972429411,651
805000,1609.9999999757524,-205299.22924459912,300.28872073361777,651
810000,1619.999999975516,-206143.4488695144,301.93715865614337,651
815000,1629.9999999752795,-206012.88764558348,305.5163481230015,651
820000,1639.999999975043,-205665.4547958516,299.04528381783547,651
825000,1649.9999999748065,-205561.65463167825,302.68501088351877,651
830000,1659.99999997457,-205921.3290389605,300.56751722115615,651
835000,1669.9999999743336,-206311.93973964418,298.91763197210304,651
840000,1679.9999999740971,-205756.23054268572,304.75985880979977,651
845000,1689.9999999738607,-205693.61585815845,300.13515312093,651
850000,1699.9999999736242,-205293.52170847205,303.25862737069133,651
855000,1709.9999999733877,-205879.83060418477,295.3890972684314,650
860000,1719.9999999731513,-205911.6071099873,301.24623205608646,649
865000,1729.9999999729148,-206056.76358556526,303.26985412514944,648
870000,1739.9999999726783,-205774.12648800737,300.1020907331056,647
875000,1749.9999999724419,-205885.92153275246,306.48302687504207,646
880000,1759.9999999722054,-205287.03618078202,303.3623219374543,645
885000,1769.999999971969,-206390.94305679027,298.130315658457,643
890000,1779.9999999717324,-205354.83731413283,301.4875277592457,640
895000,1789.999999971496,-206990.32802492986,300.62301150982404,633
900000,1799.9999999712595,-205891.91615639336,298.7204116596393,627
905000,1809.999999971023,-206222.848403831,297.7320545709992,621
910000,1819.9999999707866,-205738.74202343042,296.93861292830064,615
915000,1829.99999997055,-206036.0197173747,299.61926947848957,609
920000,1839.9999999703136,-205902.70895055216,299.16475456426804,603
925000,1849.9999999700772,-205847.88088183408,295.7317824472976,597
930000,1859.9999999698407,-206220.7792261606,302.7561932666089,592
935000,1869.9999999696042,-205289.25324444065,303.9282536261418,587
940000,1879.9999999693678,-206046.06315364945,299.09013657930007,581
945000,1889.9999999691313,-206102.01318094274,299.9690817159367,577
950000,1899.9999999688948,-205666.71629711532,301.3780747218516,572
955000,1909.9999999686584,-206000.21029891388,302.5464509884584,567
960000,1919.999999968422,-205434.7890844182,303.1173048302805,562
965000,1929.9999999681854,-205752.39387469087,299.6670695478934,558
970000,1939.999999967949,-206169.94555288565,298.1838098943608,554
975000,1949.9999999677125,-205414.284409562,302.9357895602125,550
980000,1959.999999967476,-205706.8693855754,303.4173642788478,545
985000,1969.9999999672395,-205724.2459114244,293.19283368699087,541
990000,1979.999999967003,-206209.13690901443,300.54700174057876,537
995000,1989.9999999667666,-204995.4629629486,295.5416432201557,533
1000000,1999.9999999665301,-205896.63904677262,302.4152577431624,530
1005000,2009.9999999662937,-206256.5158133168,299.0735559437493,526
1010000,2019.9999999660572,-205164.5356728083,299.9750393771138,523
1015000,2029.9999999658207,-206169.16029341565,297.8547349979749,519
1020000,2039.9999999655843,-205777.78646709688,301.1740074901381,516
1025000,2049.999999965348,-205047.1137062303,299.5954598356608,512
1030000,2059.9999999651113,-205935.47961219505,300.31842126752184,509
1035000,2069.999999964875,-206568.96561557485,300.4202950939898,506
1040000,2079.9999999646384,-205448.50184157805,298.2958025048051,503
1045000,2089.999999964402,-205572.72617320542,303.09808547004576,500
1050000,2099.9999999641655,-205735.1545872084,304.56019321733686,497
1055000,2109.999999963929,-206669.22920613724,302.72468944447644,494
1060000,2119.9999999636925,-206097.23869056685,299.29606948508575,491
1065000,2129.999999963456,-204748.29087483138,297.79123403260814,488
1070000,2139.9999999632196,-206053.1351653235,303.2608677376351,485
1075000,2149.999999962983,-205646.76711211272,300.3021414404601,483
1080000,2159.9999999627466,-206363.13662650413,303.89484905081974,480
1085000,2169.99999996251,-206410.32518851617,304.64166874974836,478
1090000,2179.9999999622737,-205498.4629943096,303.68643811246756,475
1095000,2189.9999999620372,-205684.5312191774,299.6577298415142,472
1100000,2199.9999999618008,-205711.86933557037,298.2152400464513,470
1105000,2209.9999999615643,-205984.2930187576,298.4610397699634,468
1110000,2219.999999961328,-205856.08015683317,300.7808657227701,466
1115000,2229.9999999610914,-205857.97277716943,303.32274802490304,463
1120000,2239.999999960855,-205886.40885726386,297.62369570764196,461
1125000,2249.9999999606184,-205283.4863881003,298.31421777344065,459
1130000,2259.999999960382,-205675.3491336113,298.1756851938753,457
1135000,2269.9999999601455,-206017.01021743752,300.6126123011669,454
1140000,2279.999999959909,-205738.33642116212,300.42885502498916,452
1145000,2289.9999999596726,-205544.1510887685,295.47480693650357,450
1150000,2299.999999959436,-205733.75990476878,300.44979126553585,448
